"","country","t","date","actual","fct","dif","index","index_pc"
"568","FR",57,2020-05-12,3.285708,3.46282078166164,-5.39039931916179,86.5349748987555,-13.4650251012445
"569","FR",58,2020-05-13,3.342036,3.4624513950771,-3.60305499632861,86.6949305735157,-13.3050694264843
"570","FR",59,2020-05-14,3.331002,3.44903009847771,-3.54332115314575,86.8501266976775,-13.1498733023225
"571","FR",60,2020-05-15,3.259092,3.37434606932541,-3.53638588065057,86.9974144978496,-13.0025855021504
"572","FR",61,2020-05-16,2.918502,3.0783611989326,-5.47744010223731,87.1037473327083,-12.8962526672917
"573","FR",62,2020-05-17,2.736381,2.91141414521021,-6.39651953475099,87.1912710885966,-12.8087289114034
"574","FR",63,2020-05-18,3.0801,3.23638104240088,-5.07389508135719,87.3024755613822,-12.6975244386178
"575","FR",64,2020-05-19,3.087321,3.33737309948528,-8.09932298861325,87.3762151044196,-12.6237848955804
"576","FR",65,2020-05-20,3.071367,3.36849270907677,-9.67405422656326,87.4298285150903,-12.5701714849097
"577","FR",66,2020-05-21,2.756787,3.14343353650908,-14.0252597139017,87.4333348845526,-12.5666651154474
"578","FR",67,2020-05-22,2.853939,3.33426847121494,-16.8304042663468,87.4083479604998,-12.5916520395002
"579","FR",68,2020-05-23,2.707497,3.09167114139802,-14.1892730222054,87.4104075473396,-12.5895924526604
"580","FR",69,2020-05-24,2.596602,2.90384594215014,-11.8325389162505,87.4336114584029,-12.5663885415971
"581","FR",70,2020-05-25,3.011994,3.21541873306449,-6.75382265251831,87.5124065259651,-12.4875934740349
"582","FR",71,2020-05-26,3.095682,3.29684677631565,-6.49823774908559,87.5940306769151,-12.4059693230849
"583","FR",72,2020-05-27,3.085659,3.30788175121167,-7.201792265823,87.6660543192612,-12.3339456807388
"584","FR",73,2020-05-28,3.071166,3.28761165119461,-7.04767020716602,87.7375209924655,-12.2624790075345
"585","FR",74,2020-05-29,3.026583,3.26448700790148,-7.86048186689348,87.7981669742474,-12.2018330257526
"586","FR",75,2020-05-30,2.726577,2.99776280041014,-9.94601657720072,87.8331008644529,-12.1668991355471
"587","FR",76,2020-05-31,2.560347,2.84221562493601,-11.0090009258907,87.8564686294396,-12.1435313705604
"588","FR",77,2020-06-01,2.682153,3.16497052395219,-18.001117906107,87.8208903670332,-12.1791096329668
"589","FR",78,2020-06-02,3.106017,3.26810765498952,-5.21860166861684,87.9051345871437,-12.0948654128563
"590","FR",79,2020-06-03,3.154407,3.28159958757973,-4.03221865725403,88.0003238881518,-11.9996761118482
"591","FR",80,2020-06-04,3.137013,3.33350435703163,-6.26364497155824,88.071316168071,-11.928683831929
"592","FR",81,2020-06-05,3.081081,3.32393312110021,-7.88204273435869,88.1242985762345,-11.8757014237655
