date,cons
22/10/2016,1242651
23/10/2016,1194123
24/10/2016,1318927
25/10/2016,1321553
26/10/2016,1327572
27/10/2016,1339153
28/10/2016,1339819
29/10/2016,1207771
30/10/2016,1181862
31/10/2016,1234455
,
01/11/2016,1179479
02/11/2016,1357931
03/11/2016,1444878
04/11/2016,1473671
05/11/2016,1299170
06/11/2016,1296655
07/11/2016,1576325
08/11/2016,1634887
09/11/2016,1629106
10/11/2016,1568304
11/11/2016,1388671
12/11/2016,1447916
13/11/2016,1354220
14/11/2016,1546722
15/11/2016,1560438
16/11/2016,1513741
17/11/2016,1484682
18/11/2016,1490001
19/11/2016,1393074
20/11/2016,1293296
21/11/2016,1426549
22/11/2016,1482597
23/11/2016,1481754
24/11/2016,1473651
25/11/2016,1498274
26/11/2016,1379838
27/11/2016,1340486
28/11/2016,1599993
29/11/2016,1740815
30/11/2016,1757535
,
01/12/2016,1770988
02/12/2016,1765377
03/12/2016,1602473
04/12/2016,1562452
05/12/2016,1691558
06/12/2016,1695854
07/12/2016,1708238
08/12/2016,1703009
09/12/2016,1665581
10/12/2016,1544162
11/12/2016,1474560
12/12/2016,1647989
13/12/2016,1671230
14/12/2016,1666657
15/12/2016,1686801
16/12/2016,1627495
17/12/2016,1544658
18/12/2016,1538516
19/12/2016,1742090
20/12/2016,1749406
21/12/2016,1737516
22/12/2016,1660670
23/12/2016,1596380
24/12/2016,1412166
25/12/2016,1290393
26/12/2016,1396407
27/12/2016,1526802
28/12/2016,1608750
29/12/2016,1692021
30/12/2016,1741738
31/12/2016,1727977
01/01/2017,1651639
02/01/2017,1768153
03/01/2017,1885327
04/01/2017,1922667
05/01/2017,1886476
06/01/2017,1960684
07/01/2017,1878672
08/01/2017,1698047
09/01/2017,1806214
10/01/2017,1802126
11/01/2017,1764317
12/01/2017,1731335
13/01/2017,1793223
14/01/2017,1706016
15/01/2017,1666315
16/01/2017,1834517
17/01/2017,1973804
18/01/2017,2061653
19/01/2017,2079021
20/01/2017,2055042
21/01/2017,1900592
22/01/2017,1819310
23/01/2017,1962735
24/01/2017,2008327
25/01/2017,2044137
26/01/2017,2036930
27/01/2017,1911045
28/01/2017,1633918
29/01/2017,1555816
30/01/2017,1681418
31/01/2017,1614051
,
01/02/2017,1588964
02/02/2017,1583009
03/02/2017,1598243
04/02/2017,1496374
05/02/2017,1460740
06/02/2017,1668844
07/02/2017,1662539
08/02/2017,1701253
09/02/2017,1762364
10/02/2017,1779445
11/02/2017,1679333
12/02/2017,1562723
13/02/2017,1636911
14/02/2017,1605710
15/02/2017,1534890
16/02/2017,1527954
17/02/2017,1528440
18/02/2017,1419088
19/02/2017,1387622
20/02/2017,1532208
21/02/2017,1506646
22/02/2017,1497242
23/02/2017,1514845
24/02/2017,1527931
25/02/2017,1448247
26/02/2017,1351100
27/02/2017,1521110
28/02/2017,1609424
,
01/03/2017,1623001
02/03/2017,1538738
03/03/2017,1494324
04/03/2017,1382370
05/03/2017,1392185
06/03/2017,1568777
07/03/2017,1598074
08/03/2017,1570812
09/03/2017,1464635
10/03/2017,1405556
11/03/2017,1250482
12/03/2017,1196358
13/03/2017,1375023
14/03/2017,1407929
15/03/2017,1384242
16/03/2017,1352775
17/03/2017,1335358
18/03/2017,1257289
19/03/2017,1171163
20/03/2017,1347609
21/03/2017,1393414
22/03/2017,1448449
23/03/2017,1459389
24/03/2017,1453457
25/03/2017,1276756
26/03/2017,1125743
27/03/2017,1298523
28/03/2017,1292581
29/03/2017,1271327
30/03/2017,1237756
31/03/2017,1206916
,
01/04/2017,1130214
02/04/2017,1099637
03/04/2017,1248563
04/04/2017,1259838
05/04/2017,1270893
06/04/2017,1293517
07/04/2017,1274295
08/04/2017,1098086
09/04/2017,1001468
10/04/2017,1161839
11/04/2017,1209364
12/04/2017,1226074
13/04/2017,1228078
14/04/2017,1203578
15/04/2017,1106959
16/04/2017,1044594
17/04/2017,1080718
18/04/2017,1275355
19/04/2017,1342392
20/04/2017,1365692
21/04/2017,1322325
22/04/2017,1153250
23/04/2017,1073843
24/04/2017,1231127
25/04/2017,1286682
26/04/2017,1376381
27/04/2017,1418116
28/04/2017,1394818
29/04/2017,1202382
30/04/2017,1104515
,
01/05/2017,1111546
02/05/2017,1292821
03/05/2017,1316251
04/05/2017,1301827
05/05/2017,1257251
06/05/2017,1129168
07/05/2017,1059905
08/05/2017,1094145
09/05/2017,1235474
10/05/2017,1224713
11/05/2017,1213390
12/05/2017,1188269
13/05/2017,1045729
14/05/2017,975136
15/05/2017,1137154
16/05/2017,1143657
17/05/2017,1142635
18/05/2017,1150393
19/05/2017,1147129
20/05/2017,1029538
21/05/2017,957515
22/05/2017,1116743
23/05/2017,1132945
24/05/2017,1133769
25/05/2017,984119
26/05/2017,1035697
27/05/2017,982135
28/05/2017,932139
29/05/2017,1119944
30/05/2017,1143438
31/05/2017,1142904
,
01/06/2017,1151373
02/06/2017,1140899
03/06/2017,998816
04/06/2017,912673
05/06/2017,954095
06/06/2017,1109842
07/06/2017,1128219
08/06/2017,1138676
09/06/2017,1129351
10/06/2017,1003641
11/06/2017,945322
12/06/2017,1123845
13/06/2017,1161818
14/06/2017,1173422
15/06/2017,1185030
16/06/2017,1160230
17/06/2017,1028604
18/06/2017,971420
19/06/2017,1176676
20/06/2017,1223812
21/06/2017,1239092
22/06/2017,1245959
23/06/2017,1195420
24/06/2017,1043683
25/06/2017,966998
26/06/2017,1150075
27/06/2017,1177758
28/06/2017,1149290
29/06/2017,1131509
30/06/2017,1118388
,
01/07/2017,1000925
02/07/2017,940612
03/07/2017,1118036
04/07/2017,1157479
05/07/2017,1177089
06/07/2017,1194790
07/07/2017,1197167
08/07/2017,1055187
09/07/2017,968952
10/07/2017,1131705
11/07/2017,1154976
12/07/2017,1169635
13/07/2017,1152781
14/07/2017,996531
15/07/2017,983548
16/07/2017,950950
17/07/2017,1149926
18/07/2017,1194534
19/07/2017,1191665
20/07/2017,1162203
21/07/2017,1137747
22/07/2017,1008795
23/07/2017,939879
24/07/2017,1099584
25/07/2017,1122932
26/07/2017,1129698
27/07/2017,1128987
28/07/2017,1105762
29/07/2017,990612
30/07/2017,924790
31/07/2017,1057884
,
01/08/2017,1083333
02/08/2017,1094886
03/08/2017,1101341
04/08/2017,1090084
05/08/2017,980039
06/08/2017,901211
07/08/2017,1010780
08/08/2017,1014536
09/08/2017,1004697
10/08/2017,1003370
11/08/2017,998228
12/08/2017,922283
13/08/2017,873316
14/08/2017,960408
15/08/2017,915397
16/08/2017,1008945
17/08/2017,1035462
18/08/2017,1039274
19/08/2017,945734
20/08/2017,893844
21/08/2017,1047291
22/08/2017,1089595
23/08/2017,1099926
24/08/2017,1110109
25/08/2017,1108321
26/08/2017,1003493
27/08/2017,943729
28/08/2017,1134262
29/08/2017,1174180
30/08/2017,1167827
31/08/2017,1134033
,
01/09/2017,1111770
02/09/2017,988071
03/09/2017,937665
04/09/2017,1110410
05/09/2017,1143902
06/09/2017,1143290
07/09/2017,1141192
08/09/2017,1138239
09/09/2017,1004532
10/09/2017,945680
11/09/2017,1124751
12/09/2017,1142390
13/09/2017,1176579
14/09/2017,1176312
15/09/2017,1168698
16/09/2017,1053356
17/09/2017,1012327
18/09/2017,1193516
19/09/2017,1222737
20/09/2017,1224503
21/09/2017,1202677
22/09/2017,1183558
23/09/2017,1047774
24/09/2017,977022
25/09/2017,1153144
26/09/2017,1177550
27/09/2017,1180264
28/09/2017,1177034
29/09/2017,1157025
30/09/2017,1034962
,
01/10/2017,993044
02/10/2017,1167402
03/10/2017,1186246
04/10/2017,1203207
05/10/2017,1218033
06/10/2017,1213448
07/10/2017,1109832
08/10/2017,1039065
09/10/2017,1203994
10/10/2017,1218877
11/10/2017,1218013
12/10/2017,1206187
13/10/2017,1185742
14/10/2017,1051402
15/10/2017,985078
16/10/2017,1154011
17/10/2017,1182084
18/10/2017,1192275
19/10/2017,1191106
20/10/2017,1191710
21/10/2017,1076660
22/10/2017,1056211
23/10/2017,1257021
24/10/2017,1255194
25/10/2017,1235836
26/10/2017,1241876
27/10/2017,1230007
28/10/2017,1149268
29/10/2017,1155373
30/10/2017,1310598
31/10/2017,1393171
,
01/11/2017,1253158
02/11/2017,1346900
03/11/2017,1321764
04/11/2017,1195534
05/11/2017,1187997
06/11/2017,1468900
07/11/2017,1563376
08/11/2017,1581699
09/11/2017,1560138
10/11/2017,1519337
11/11/2017,1316496
12/11/2017,1261246
13/11/2017,1543860
14/11/2017,1615456
15/11/2017,1614575
16/11/2017,1614672
17/11/2017,1580393
18/11/2017,1461239
19/11/2017,1401102
20/11/2017,1595221
21/11/2017,1573795
22/11/2017,1517058
23/11/2017,1457154
24/11/2017,1446657
25/11/2017,1382102
26/11/2017,1446874
27/11/2017,1657724
28/11/2017,1676464
29/11/2017,1720546
30/11/2017,1790237
01/01/2018,1345077
02/01/2018,1515993
03/01/2018,1526055
04/01/2018,1511207
05/01/2018,1500392
06/01/2018,1430716
07/01/2018,1413572
08/01/2018,1621281
09/01/2018,1657652
10/01/2018,1625751
11/01/2018,1656129
12/01/2018,1690203
13/01/2018,1592608
14/01/2018,1537478
15/01/2018,1694708
16/01/2018,1638424
17/01/2018,1686705
18/01/2018,1664697
19/01/2018,1655295
20/01/2018,1539846
21/01/2018,1424059
22/01/2018,1539240
23/01/2018,1565516
24/01/2018,1529567
25/01/2018,1567231
26/01/2018,1620601
27/01/2018,1544264
28/01/2018,1450109
