date,hour,value
20170219,12,29234.164
20170219,13,28766.828
20170219,14,27270.018
20170219,15,26706.57
20170219,16,26899.379
20170219,17,27702.394
20170219,18,30578.527
20170219,19,33588.774
20170219,20,34486.496
20170219,21,33630.14
20170219,22,31885.901
20170219,23,29191.67
20170219,24,26619.372
20170220,1,24055.94
20170220,2,22651.998
20170220,3,22323.423
20170220,4,22156.899
20170220,5,22488.362
20170220,6,24812.023
20170220,7,30444.905
20170220,8,36798.374
20170220,9,41186.8
20170220,10,42237.707
20170220,11,41625.491
20170220,12,41475.514
20170220,13,39425.591
20170220,14,39136.707
20170220,15,40313.985
20170220,16,40880.11
20170220,17,41563.004
20170220,18,42656.476
20170220,19,44008.415
20170220,20,42995.597
20170220,21,41004.007
20170220,22,37979.277
20170220,23,34088.835
20170220,24,30532.716
20170221,1,28316.606
20170221,2,26245.087
20170221,3,25600.83
20170221,4,25485.722
20170221,5,25731.526
20170221,6,27699.497
20170221,7,33398.2
20170221,8,37770.517
20170221,9,42708.188
20170221,10,43576.118
20170221,11,42408.036
20170221,12,41760.178
20170221,13,39559.96
20170221,14,39151.289
20170221,15,40380.181
20170221,16,40921.18
20170221,17,41764.165
20170221,18,42902.699
20170221,19,44668.788
20170221,20,43820.093
20170221,21,41832.793
20170221,22,38722.982
20170221,23,34310.173
20170221,24,30935.276
20170222,1,27881.375
20170222,2,26067.893
20170222,3,25425.136
20170222,4,25415.107
20170222,5,25466.978
20170222,6,26982.953
20170222,7,32680.517
20170222,8,37727.592
20170222,9,41781.609
20170222,10,42315.73
20170222,11,41577.89
20170222,12,41337.587
20170222,13,39445.03
20170222,14,38659.406
20170222,15,39822.296
20170222,16,40256.335
20170222,17,41442.202
20170222,18,42380.858
20170222,19,44203.755
20170222,20,43205.999
20170222,21,41170.69
